size_bytes,time_s
3302400.0,0.011895
3310592.0,0.011796
3318784.0,0.011459
3326976.0,0.01165
3335168.0,0.011816
3343360.0,0.011742
3351552.0,0.011893
3359744.0,0.011511
3367936.0,0.011798
3376128.0,0.012025
3384320.0,0.011874
3392512.0,0.011552
3400704.0,0.011476
3408896.0,0.011567
3417088.0,0.011797
3425280.0,0.01189
3433472.0,0.011535
3441664.0,0.011699
3449856.0,0.01181
3458048.0,0.011798
3466240.0,0.011822
3474432.0,0.011789
3482624.0,0.011814
3490816.0,0.01183
3499008.0,0.01179
3507200.0,0.011828
3515392.0,0.011501
3523584.0,0.011511
3531776.0,0.011469
3539968.0,0.011512
3548160.0,0.011827
3556352.0,0.011801
3564544.0,0.011799
3572736.0,0.011549
3580928.0,0.011801
3589120.0,0.011826
3597312.0,0.011798
3605504.0,0.011848
3613696.0,0.011805
3621888.0,0.011795
3630080.0,0.011852
3638272.0,0.011659
3646464.0,0.011851
3654656.0,0.012237
3662848.0,0.011819
3671040.0,0.012128
3679232.0,0.011858
3687424.0,0.011664
3695616.0,0.011628
3703808.0,0.011591
3712000.0,0.0118
3720192.0,0.011742
3728384.0,0.011472
3736576.0,0.011483
3744768.0,0.011619
3752960.0,0.011692
3761152.0,0.01149
3769344.0,0.011558
3777536.0,0.011586
3785728.0,0.011843
3793920.0,0.011831
3802112.0,0.0116
3810304.0,0.01178
3818496.0,0.011904
3826688.0,0.012011
3834880.0,0.011708
3843072.0,0.01181
3851264.0,0.011812
3859456.0,0.011831
3867648.0,0.011756
3875840.0,0.011786
3884032.0,0.0118
3892224.0,0.011835
3900416.0,0.01143
3908608.0,0.011498
3916800.0,0.011454
3924992.0,0.012207
3933184.0,0.012234
3941376.0,0.011745
3949568.0,0.011938
3957760.0,0.011959
3965952.0,0.012116
3974144.0,0.011482
3982336.0,0.011686
3990528.0,0.011465
3998720.0,0.011537
4006912.0,0.01177
4015104.0,0.011773
4023296.0,0.011842
4031488.0,0.011766
4039680.0,0.011947
4047872.0,0.012449
4056064.0,0.012187
4064256.0,0.012581
4072448.0,0.011592
4080640.0,0.011521
4088832.0,0.011653
4097024.0,0.011535
4105216.0,0.011812
4113408.0,0.011655
4121600.0,0.01147
4129792.0,0.011448
4137984.0,0.011683
4146176.0,0.011675
4154368.0,0.011563
4162560.0,0.011456
4170752.0,0.011538
4178944.0,0.011748
4187136.0,0.011765
4195328.0,0.01302
4228096.0,0.014282
4260864.0,0.013589
4293632.0,0.013448
4326400.0,0.013701
4359168.0,0.012791
4391936.0,0.012162
4424704.0,0.011989
4457472.0,0.011773
4490240.0,0.011782
4523008.0,0.011812
4555776.0,0.011746
4588544.0,0.011786
4621312.0,0.011677
4654080.0,0.011647
4686848.0,0.011773
4719616.0,0.011867
4752384.0,0.011813
4785152.0,0.011837
4817920.0,0.011542
4850688.0,0.011875
4883456.0,0.011691
4916224.0,0.011564
4948992.0,0.011444
4981760.0,0.011795
5014528.0,0.011629
5047296.0,0.011462
5080064.0,0.011767
5112832.0,0.011504
5145600.0,0.011471
5178368.0,0.011725
5211136.0,0.012025
5243904.0,0.011602
5276672.0,0.011645
5309440.0,0.011655
5342208.0,0.011501
5374976.0,0.011489
5407744.0,0.011793
5440512.0,0.011746
5473280.0,0.011669
5506048.0,0.011743
5538816.0,0.011803
5571584.0,0.011771
5604352.0,0.011781
5637120.0,0.011763
5669888.0,0.011788
5702656.0,0.011839
5735424.0,0.011773
5768192.0,0.011618
5800960.0,0.011799
5833728.0,0.011835
5866496.0,0.011818
5899264.0,0.012057
5932032.0,0.011753
5964800.0,0.011805
5997568.0,0.011762
6030336.0,0.011774
6063104.0,0.011782
6095872.0,0.011881
6128640.0,0.011647
6161408.0,0.011519
6194176.0,0.011539
6226944.0,0.011807
6259712.0,0.011815
6292480.0,0.011779
6325248.0,0.01182
6358016.0,0.011593
6390784.0,0.011628
6423552.0,0.011709
6456320.0,0.011787
6489088.0,0.011821
6521856.0,0.011874
6554624.0,0.011831
6587392.0,0.011847
6620160.0,0.012058
6652928.0,0.011582
6685696.0,0.011835
6718464.0,0.012199
6751232.0,0.011891
6784000.0,0.011815
6816768.0,0.011849
6849536.0,0.011657
6882304.0,0.012929
6915072.0,0.011947
6947840.0,0.011914
6980608.0,0.0116
7013376.0,0.011641
7046144.0,0.011687
7078912.0,0.012152
7111680.0,0.011771
7144448.0,0.01188
7177216.0,0.011883
7209984.0,0.011976
7242752.0,0.011925
7275520.0,0.011762
7308288.0,0.011776
7341056.0,0.011882
7373824.0,0.012077
7406592.0,0.011957
7439360.0,0.011807
7472128.0,0.011891
7504896.0,0.011837
7537664.0,0.011963
7570432.0,0.011946
7603200.0,0.011573
7635968.0,0.011578
7668736.0,0.011889
7701504.0,0.011815
7734272.0,0.011562
7767040.0,0.011876
